,time,V
0,8,215.4435
1,8,215.4435
2,8,215.4435
3,8,100.0
4,24,31622.78
5,24,31622.78
6,24,10000.0
7,24,68129.2
9,48,215443.5
10,48,215443.5
11,48,316227.8
