,time,V
0,8,1.0
1,8,1.0
2,8,1.0
3,8,1.0
4,24,4642.589
5,24,3163.278
6,24,4642.589
7,24,2155.435
8,48,3163.278
9,48,3163.278
10,48,10001.0
11,48,3163.278
